	0
1269	8312
1270	8313
1271	8318
1272	8319
1273	8326
1274	8329
1275	8330
1276	8341
1277	8344
1278	8371
1279	8377
1280	8385
1281	8397
1282	8400
1283	8401
1284	8402
1285	8404
1286	8410
1287	8417
1288	8426
1289	8427
1290	8428
1291	8429
1292	8432
1293	8440
1294	8444
1295	8446
1296	8448
1297	8450
1298	8452
1299	8455
1300	8460
1301	8466
1302	8470
1303	8473
1304	8484
1305	8501
1306	8503
1307	8528
1308	8532
1309	8538
1310	8541
1311	8566
1312	8571
1313	8574
1314	8596
1315	8614
1316	8615
1317	8640
1318	8641
1319	8642
1320	8658
1321	8668
1322	8692
1323	8696
1324	8703
1325	8717
1326	8719
1327	8732
1328	8764
1329	8767
1330	8768
1331	8769
1332	8776
1333	8777
1334	8781
1335	8783
1336	8788
1337	8791
1338	8805
1339	8817
1340	8818
1341	8819
1342	8823
1343	8825
1344	8826
1345	8834
1346	8836
1347	8842
1348	8843
1349	8844
1350	8848
1351	8885
1352	8890
1353	8902
1354	8903
1355	8910
1356	8925
1357	8930
1358	8934
1359	8965
1360	8975
1361	8977
1362	8979
1363	8987
1364	8991
1365	9001
1366	9012
1367	9025
1368	9028
1369	9030
1370	9036
1371	9055
1372	9060
1373	9070
1374	9077
1375	9079
1376	9101
1377	9122
1378	9142
1379	9155
1380	9159
1381	9162
1382	9167
1383	9168
1384	9170
1385	9174
1386	9176
1387	9190
1388	9195
1389	9201
1390	9209
1391	9210
1392	9211
1393	9212
1394	9219
1395	9228
1396	9231
1397	9233
1398	9234
1399	9239
1400	9243
1401	9245
1402	9246
1403	9247
1404	9249
1405	9296
1406	9297
1407	9311
1408	9316
1409	9326
1410	9344
1411	9354
1412	9355
1413	9356
1414	9359
1415	9362
1416	9363
1417	9364
1418	9365
1419	9367
1420	9369
1421	9371
1422	9375
1423	9380
1424	9381
1425	9384
1426	9385
1427	9389
1428	9390
1429	9398
1430	9415
1431	9418
1432	9432
1433	9436
1434	9438
1435	9444
1436	9448
1437	9450
1438	9462
1439	9463
1440	9466
1441	9467
1442	9477
1443	9482
1444	9484
1445	9485
1446	9489
1447	9491
1448	9494
1449	9495
1450	9501
1451	9503
1452	9511
1453	9512
1454	9526
1455	9544
1456	9551
1457	9574
1458	9577
1459	9581
1460	9596
1461	9600
1462	9603
1463	9614
1464	9629
1465	9630
1466	9655
1467	9671
1468	9672
1469	9675
1470	9678
1471	9679
1472	9685
1473	9690
1474	9695
1475	9698
1476	9705
1477	9724
1478	9729
1479	9730
1480	9732
1481	9741
1482	9742
1483	9757
1484	9759
1485	9760
1486	9768
1487	9769
1488	9778
1489	9794
1490	9795
1491	9805
1492	9806
1493	9809
1494	9813
